,0,1,2,3
88,"[('vel y', '(-0.686, -0.571]'), ('vel x', '(0.113, 0.245]'), ('pos x', '(-0.351, -0.293]')]",Fire down engine,"Fire down engine    0.001271
Fire left engine    0.000635
         ","Fire down engine    0.666667
Fire left engine    0.333333
         "
89,"[('vel y', '(-0.686, -0.571]'), ('angleVel', '(0.0286, 0.095]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
90,"[('vel y', '(-0.686, -0.571]'), ('pos x', '(-0.351, -0.293]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
91,"[('vel y', '(0.227, 0.341]')]",No action,"No action            0.001068
Fire right engine    0.001068
         ","No action            0.5
Fire right engine    0.5
         "
92,"[('angle', '(-0.602, -0.516]'), ('angleVel', '(0.0286, 0.095]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
93,"[('angle', '(-0.602, -0.516]'), ('vel y', '(-0.115, -0.000902]'), ('pos x', '(-0.351, -0.293]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
94,"[('angle', '(-0.602, -0.516]'), ('angleVel', '(-0.237, -0.171]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
95,"[('angle', '(-0.602, -0.516]'), ('vel y', '(-0.115, -0.000902]'), ('pos y', '(1.051, 1.202]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
96,"[('angle', '(-0.602, -0.516]'), ('angleVel', '(0.095, 0.161]'), ('pos x', '(-0.351, -0.293]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
97,"[('angle', '(-0.602, -0.516]'), ('angleVel', '(0.095, 0.161]'), ('pos y', '(1.202, 1.353]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
98,"[('angleVel', '(0.228, 0.294]'), ('pos y', '(0.597, 0.748]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
99,"[('angleVel', '(0.228, 0.294]'), ('vel x', '(-0.15, -0.0182]'), ('pos x', '(-0.351, -0.293]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
100,"[('angleVel', '(0.228, 0.294]'), ('pos y', '(1.202, 1.353]'), ('angle', '(-0.431, -0.346]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
101,"[('angleVel', '(0.228, 0.294]'), ('vel x', '(-0.15, -0.0182]')]",Fire down engine,"Fire down engine    0.001271
Fire left engine    0.000635
         ","Fire down engine    0.666667
Fire left engine    0.333333
         "
102,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.409, -0.351]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
103,"[('vel y', '(0.113, 0.227]')]",No action,"No action            0.002137
Fire right engine    0.002137
         ","No action            0.5
Fire right engine    0.5
         "
104,"[('angle', '(-0.602, -0.516]'), ('pos y', '(1.051, 1.202]'), ('vel y', '(-0.000902, 0.113]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
105,"[('angle', '(-0.602, -0.516]'), ('pos y', '(1.051, 1.202]'), ('angleVel', '(0.161, 0.228]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
106,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.571, -0.457]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
107,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.261, -0.176]')]",Fire down engine,"Fire down engine    0.001906
         ","Fire down engine    1.0
         "
108,"[('pos y', '(1.353, 1.504]'), ('angleVel', '(0.0286, 0.095]')]",Fire right engine,"Fire right engine    0.013736
         ","Fire right engine    1.0
         "
109,"[('pos y', '(1.353, 1.504]'), ('angleVel', '(0.161, 0.228]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
110,"[('pos y', '(1.353, 1.504]'), ('angleVel', '(0.095, 0.161]')]",Fire right engine,"Fire right engine    0.019231
         ","Fire right engine    1.0
         "
111,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.000902, 0.113]'), ('pos x', '(-0.118, -0.06]')]",No action,"No action    0.017094
         ","No action    1.0
         "
112,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.06, -0.00173]'), ('vel y', '(-0.115, -0.000902]')]",Fire right engine,"Fire right engine    0.008242
         ","Fire right engine    1.0
         "
113,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.000902, 0.113]'), ('pos x', '(-0.176, -0.118]')]",No action,"No action    0.001068
         ","No action    1.0
         "
114,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.293, -0.235]'), ('angleVel', '(-0.171, -0.104]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
115,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.293, -0.235]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
116,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.06, -0.00173]'), ('vel y', '(-0.343, -0.229]')]",Fire right engine,"Fire right engine    0.010989
         ","Fire right engine    1.0
         "
117,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.06, -0.00173]'), ('vel y', '(-0.229, -0.115]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
118,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.343, -0.229]'), ('angle', '(-0.00624, 0.0788]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
119,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.343, -0.229]'), ('angleVel', '(-0.104, -0.0378]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
120,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.343, -0.229]'), ('angleVel', '(-0.237, -0.171]')]",Fire left engine,"Fire left engine    0.027888
         ","Fire left engine    1.0
         "
121,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.343, -0.229]'), ('angle', '(-0.176, -0.0912]')]",Fire right engine,"Fire right engine    0.008242
         ","Fire right engine    1.0
         "
122,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.00624, 0.0788]'), ('vel y', '(-0.457, -0.343]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
123,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.115, -0.000902]'), ('angleVel', '(-0.0378, 0.0286]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
124,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.351, -0.293]'), ('vel y', '(-0.571, -0.457]')]",Fire down engine,"Fire down engine    0.001906
         ","Fire down engine    1.0
         "
125,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.351, -0.293]'), ('pos y', '(0.446, 0.597]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
126,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.351, -0.293]'), ('angleVel', '(0.095, 0.161]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
127,"[('vel x', '(0.376, 0.508]'), ('vel y', '(-0.457, -0.343]'), ('pos y', '(0.295, 0.446]')]",Fire down engine,"Fire down engine    0.001906
         ","Fire down engine    1.0
         "
128,"[('vel x', '(0.376, 0.508]'), ('angleVel', '(-0.0378, 0.0286]'), ('pos y', '(0.295, 0.446]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
129,"[('vel x', '(0.376, 0.508]'), ('pos y', '(0.295, 0.446]')]",Fire down engine,"Fire down engine     0.002541
Fire right engine    0.000635
         ","Fire down engine     0.8
Fire right engine    0.2
         "
130,"[('angle', '(-0.602, -0.516]'), ('pos y', '(1.051, 1.202]')]",Fire down engine,"Fire down engine    0.001271
Fire left engine    0.000635
         ","Fire down engine    0.666667
Fire left engine    0.333333
         "
131,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.06, -0.00173]')]",No action,"No action            0.004274
Fire right engine    0.002137
         ","No action            0.666667
Fire right engine    0.333333
         "
132,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.115, -0.000902]'), ('angle', '(-0.0912, -0.00624]'), ('pos x', '(-0.118, -0.06]')]",No action,"No action    0.003205
         ","No action    1.0
         "
133,"[('vel x', '(0.376, 0.508]'), ('angleVel', '(0.095, 0.161]'), ('pos y', '(0.446, 0.597]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
134,"[('vel x', '(0.376, 0.508]'), ('angleVel', '(0.095, 0.161]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
135,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.235, -0.176]'), ('pos y', '(0.597, 0.748]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
136,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.235, -0.176]'), ('vel y', '(-0.571, -0.457]'), ('angle', '(-0.00624, 0.0788]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
137,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.343, -0.229]'), ('pos x', '(-0.235, -0.176]')]",Fire right engine,"Fire right engine    0.005495
Fire left engine     0.002747
         ","Fire right engine    0.666667
Fire left engine     0.333333
         "
138,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.351, -0.293]')]",Fire down engine,"Fire down engine     0.000635
Fire right engine    0.000635
         ","Fire down engine     0.5
Fire right engine    0.5
         "
139,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.235, -0.176]')]",Fire down engine,"Fire down engine    0.001271
Fire left engine    0.001271
         ","Fire down engine    0.5
Fire left engine    0.5
         "
140,"[('vel x', '(0.376, 0.508]'), ('vel y', '(-0.457, -0.343]')]",Fire down engine,"Fire down engine     0.003177
Fire right engine    0.000635
         ","Fire down engine     0.833333
Fire right engine    0.166667
         "
141,"[('vel x', '(0.376, 0.508]')]",Fire down engine,"Fire down engine    0.000635
Fire left engine    0.000635
         ","Fire down engine    0.5
Fire left engine    0.5
         "
142,"[('vel y', '(-0.686, -0.571]'), ('pos x', '(-0.293, -0.235]')]",Fire down engine,"Fire down engine    0.000635
Fire left engine    0.000635
         ","Fire down engine    0.5
Fire left engine    0.5
         "
143,"[('vel y', '(-0.686, -0.571]')]",Fire down engine,"Fire down engine     0.000635
Fire right engine    0.000635
         ","Fire down engine     0.5
Fire right engine    0.5
         "
144,"[('vel x', '(-0.809, -0.676]'), ('pos x', '(-0.293, -0.235]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
145,"[('vel x', '(-0.809, -0.676]'), ('pos x', '(-0.351, -0.293]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
146,"[('vel x', '(-0.809, -0.676]'), ('pos y', '(1.051, 1.202]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
147,"[('vel x', '(-0.809, -0.676]'), ('angle', '(-0.176, -0.0912]'), ('angleVel', '(-0.104, -0.0378]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
148,"[('vel x', '(-0.809, -0.676]'), ('angleVel', '(-0.104, -0.0378]'), ('pos x', '(-0.235, -0.176]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
149,"[('vel x', '(-0.809, -0.676]'), ('angle', '(-0.176, -0.0912]'), ('angleVel', '(-0.237, -0.171]')]",Fire down engine,"Fire down engine    0.002541
         ","Fire down engine    1.0
         "
