,rule,predicted class,covered examples,correct predictions,wrong predictions,rule accuracy
43,"([('pos y', '(-0.000506, -0.000504]'), ('vel x', '(0.0057, 0.178]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,1,0,1.0
44,"([('pos y', '(-0.000506, -0.000504]'), ('pos x', '(0.0108, 0.0109]')], 'Fire right engine', Fire right engine    0.005236
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
45,"([('pos x', '(0.0108, 0.0109]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
46,"([('pos y', '(-0.000506, -0.000504]'), ('vel x', '(-0.0044, -0.0001]')], 'Fire right engine', Fire right engine    0.007853
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,1,1,0,1.0
47,"([('pos y', '(-0.000506, -0.000504]'), ('vel x', '(-0.168, -0.0044]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
48,"([('pos y', '(-0.000506, -0.000504]'), ('vel y', '(-0.0004, -1e-06]')], 'Fire right engine', Fire right engine    0.010471
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,1,1,0,1.0
49,"([('vel y', '(0.0771, 0.211]'), ('pos x', '(-0.0884, -0.0496]')], 'No action', No action    0.015054
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,6,6,0,1.0
50,"([('vel x', '(-0.808, -0.72]'), ('pos x', '(-0.3794, -0.1448]')], 'Fire right engine', Fire right engine    0.010471
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,3,2,1,0.6666666666666666
51,"([('vel x', '(-0.808, -0.72]'), ('pos x', '(-0.1448, -0.1371]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,1,0,1.0
52,"([('vel x', '(-0.808, -0.72]'), ('pos x', '(-0.031, -0.0069]')], 'Fire right engine', Fire right engine    0.034031
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,6,6,0,1.0
53,"([('vel x', '(-0.808, -0.72]'), ('pos y', '(1.378, 1.433]')], 'Fire right engine', Fire right engine    0.013089
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,1,1,0,1.0
54,"([('vel y', '(-1e-06, 0.0]'), ('vel x', '(-0.168, -0.0044]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
55,"([('angleVel', '(-9.2e-05, 4.5e-05]'), ('pos x', '(0.0109, 0.0324]')], 'No action', No action    0.005376
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,3,2,1,0.6666666666666666
56,"([('angleVel', '(-9.2e-05, 4.5e-05]'), ('vel x', '(-0.0044, -0.0001]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
57,"([('pos y', '(-0.000506, -0.000504]'), ('angleVel', '(-0.0003, -9.2e-05]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
58,"([('vel y', '(0.0, 0.0004]'), ('angle', '(-0.0056, 0.0003]'), ('vel x', '(9.7e-05, 0.0057]')], 'No action', No action    0.010753
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,4,4,0,1.0
59,"([('pos y', '(-7.9e-05, -2.5e-05]'), ('vel x', '(-0.0044, -0.0001]')], 'Fire right engine', Fire right engine    0.005236
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,1,1,0,1.0
60,"([('vel x', '(-0.626, -0.482]'), ('vel y', '(-0.368, -0.183]'), ('angleVel', '(-0.167, -0.0796]')], 'Fire down engine', Fire down engine    0.009646
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,11,8,3,0.7272727272727273
61,"([('vel x', '(-0.808, -0.72]'), ('vel y', '(-0.0059, -0.0004]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
62,"([('vel x', '(-0.808, -0.72]'), ('pos x', '(-0.1367, -0.0884]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,2,1,1,0.5
63,"([('vel y', '(0.0771, 0.211]'), ('pos x', '(-0.526, -0.3794]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
64,"([('vel y', '(0.0771, 0.211]'), ('pos x', '(-0.031, -0.0069]')], 'Fire right engine', Fire right engine    0.005236
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
65,"([('vel x', '(-0.808, -0.72]'), ('angleVel', '(0.001, 0.0448]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
66,"([('vel x', '(-0.808, -0.72]'), ('pos x', '(-0.0495, -0.0312]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
67,"([('vel x', '(-0.0001, 9.7e-05]'), ('pos x', '(-0.0495, -0.0312]')], 'No action', No action            0.009677
Fire right engine    0.001075
Name: class, dtype: float64, No action            0.9
Fire right engine    0.1
Name: class, dtype: float64)",No action,1,1,0,1.0
68,"([('pos y', '(-0.000506, -0.000504]')], 'Fire right engine', Fire right engine    0.013089
No action            0.005236
Name: class, dtype: float64, Fire right engine    0.714286
No action            0.285714
Name: class, dtype: float64)",Fire right engine,2,1,1,0.5
69,"([('vel y', '(0.0771, 0.211]'), ('pos y', '(1.433, 1.504]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
70,"([('vel y', '(0.0771, 0.211]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
71,"([('vel y', '(0.0, 0.0004]'), ('vel x', '(9.7e-05, 0.0057]'), ('angleVel', '(-0.0003, -9.2e-05]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,1,0,1.0
72,"([('vel y', '(0.0, 0.0004]'), ('angleVel', '(-0.0003, -9.2e-05]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,1,1,0,1.0
73,"([('vel y', '(0.0, 0.0004]'), ('pos x', '(0.0109, 0.0324]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,2,2,0,1.0
74,"([('vel y', '(0.0, 0.0004]'), ('angle', '(-0.0056, 0.0003]'), ('pos y', '(-0.0011, -0.000506]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,0,1,0.0
75,"([('vel y', '(0.0, 0.0004]'), ('angleVel', '(-9.2e-05, 4.5e-05]'), ('pos x', '(-0.0495, -0.0312]')], 'Fire right engine', Fire right engine    0.007853
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,1,1,0,1.0
76,"([('angleVel', '(-9.2e-05, 4.5e-05]'), ('vel x', '(-0.168, -0.0044]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,4,0,4,0.0
77,"([('angleVel', '(-9.2e-05, 4.5e-05]'), ('pos x', '(0.0324, 0.0332]'), ('vel x', '(0.0057, 0.178]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
78,"([('angleVel', '(-9.2e-05, 4.5e-05]'), ('pos x', '(0.0324, 0.0332]'), ('vel y', '(-0.0004, -1e-06]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,3,3,0,1.0
79,"([('angleVel', '(-9.2e-05, 4.5e-05]'), ('vel x', '(9.7e-05, 0.0057]'), ('vel y', '(-0.0004, -1e-06]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,1,0,1.0
80,"([('vel y', '(0.0, 0.0004]'), ('vel x', '(9.7e-05, 0.0057]'), ('pos y', '(-0.0077, -0.0011]')], 'No action', No action            0.006452
Fire right engine    0.001075
Name: class, dtype: float64, No action            0.857143
Fire right engine    0.142857
Name: class, dtype: float64)",No action,3,3,0,1.0
81,"([('vel y', '(0.0, 0.0004]'), ('vel x', '(9.7e-05, 0.0057]'), ('pos x', '(0.0324, 0.0332]')], 'No action', No action            0.006452
Fire right engine    0.002151
Name: class, dtype: float64, No action            0.75
Fire right engine    0.25
Name: class, dtype: float64)",No action,2,1,1,0.5
82,"([('vel y', '(0.0, 0.0004]'), ('pos x', '(0.0324, 0.0332]'), ('pos y', '(-0.0077, -0.0011]')], 'Fire right engine', Fire right engine    0.005236
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,3,3,0,1.0
83,"([('vel y', '(0.0, 0.0004]'), ('pos x', '(-0.0495, -0.0312]')], 'No action', No action            0.002151
Fire right engine    0.001075
Name: class, dtype: float64, No action            0.666667
Fire right engine    0.333333
Name: class, dtype: float64)",No action,0,0,0,-
84,"([('vel y', '(0.0, 0.0004]'), ('vel x', '(9.7e-05, 0.0057]')], 'No action', No action            0.002151
Fire right engine    0.001075
Name: class, dtype: float64, No action            0.666667
Fire right engine    0.333333
Name: class, dtype: float64)",No action,0,0,0,-
85,"([('pos y', '(-7.9e-05, -2.5e-05]'), ('vel x', '(9.7e-05, 0.0057]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,3,0,3,0.0
86,"([('pos y', '(-7.9e-05, -2.5e-05]'), ('vel x', '(0.0057, 0.178]')], 'No action', No action            0.020430
Fire right engine    0.012903
Name: class, dtype: float64, No action            0.612903
Fire right engine    0.387097
Name: class, dtype: float64)",No action,13,7,6,0.5384615384615384
87,"([('vel y', '(0.0, 0.0004]'), ('pos x', '(0.0324, 0.0332]')], 'Fire right engine', Fire right engine    0.007853
No action            0.005236
Name: class, dtype: float64, Fire right engine    0.6
No action            0.4
Name: class, dtype: float64)",Fire right engine,1,0,1,0.0
88,"([('pos y', '(-7.9e-05, -2.5e-05]')], 'No action', No action            0.001075
Fire right engine    0.001075
Name: class, dtype: float64, No action            0.5
Fire right engine    0.5
Name: class, dtype: float64)",No action,2,1,1,0.5
89,"([('angleVel', '(-9.2e-05, 4.5e-05]'), ('pos y', '(-0.0011, -0.000506]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
90,"([('angleVel', '(-9.2e-05, 4.5e-05]')], 'Fire left engine', Fire left engine    0.003937
Name: class, dtype: float64, Fire left engine    1.0
Name: class, dtype: float64)",Fire left engine,2,2,0,1.0
91,"([('vel y', '(-0.0004, -1e-06]'), ('pos x', '(0.0333, 0.0566]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
92,"([('vel y', '(-0.0004, -1e-06]'), ('pos x', '(0.0096, 0.0108]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,0,1,0.0
93,"([('vel y', '(-0.0004, -1e-06]'), ('vel x', '(-0.482, -0.168]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
94,"([('vel y', '(-0.0004, -1e-06]'), ('vel x', '(9.7e-05, 0.0057]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,2,2,0,1.0
95,"([('vel y', '(-0.0004, -1e-06]'), ('vel x', '(-0.168, -0.0044]')], 'Fire right engine', Fire right engine    0.010471
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
96,"([('vel y', '(-0.0004, -1e-06]'), ('pos x', '(0.0109, 0.0324]')], 'No action', No action    0.003226
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
97,"([('pos y', '(-0.0077, -0.0011]'), ('pos x', '(0.0109, 0.0324]')], 'Fire down engine', Fire down engine    0.000643
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,0,0,0,-
98,"([('pos y', '(-0.0077, -0.0011]'), ('pos x', '(-0.0884, -0.0496]')], 'Fire down engine', Fire down engine    0.000643
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,1,0,1,0.0
99,"([('pos y', '(-0.0077, -0.0011]'), ('vel y', '(-0.183, -0.0059]')], 'Fire down engine', Fire down engine    0.000643
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,6,1,5,0.16666666666666666
100,"([('pos y', '(-0.0077, -0.0011]'), ('pos x', '(0.0324, 0.0332]')], 'Fire right engine', Fire right engine    0.007853
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,2,2,0,1.0
101,"([('pos y', '(-0.0077, -0.0011]'), ('angle', '(0.0003, 0.0038]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
102,"([('pos y', '(-0.0077, -0.0011]'), ('angle', '(0.0273, 0.249]')], 'Fire right engine', Fire right engine    0.010471
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
103,"([('pos y', '(1.433, 1.504]'), ('pos x', '(-0.1448, -0.1371]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,2,1,1,0.5
104,"([('pos y', '(1.433, 1.504]'), ('angle', '(-0.0056, 0.0003]')], 'No action', No action    0.003226
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,1,0,1.0
105,"([('pos y', '(1.433, 1.504]'), ('angle', '(0.0038, 0.0078]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
106,"([('pos y', '(1.433, 1.504]'), ('angle', '(-0.416, -0.114]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,1,1,0,1.0
107,"([('pos y', '(1.433, 1.504]'), ('angleVel', '(-0.303, -0.167]')], 'Fire left engine', Fire left engine    0.011811
Name: class, dtype: float64, Fire left engine    1.0
Name: class, dtype: float64)",Fire left engine,3,3,0,1.0
108,"([('pos y', '(1.433, 1.504]'), ('vel y', '(-0.368, -0.183]'), ('vel x', '(-0.652, -0.626]')], 'Fire right engine', Fire right engine    0.007853
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
109,"([('pos y', '(1.433, 1.504]'), ('vel x', '(-0.652, -0.626]'), ('pos x', '(-0.3794, -0.1448]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,0,1,0.0
110,"([('pos y', '(1.433, 1.504]'), ('vel y', '(0.0004, 0.0771]'), ('vel x', '(-0.652, -0.626]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,2,2,0,1.0
111,"([('pos y', '(-0.0077, -0.0011]'), ('angleVel', '(-0.0796, -0.0003]'), ('vel x', '(-0.0044, -0.0001]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
112,"([('vel y', '(-0.0004, -1e-06]'), ('pos x', '(0.0324, 0.0332]')], 'Fire right engine', Fire right engine    0.015707
No action            0.005236
Name: class, dtype: float64, Fire right engine    0.75
No action            0.25
Name: class, dtype: float64)",Fire right engine,3,2,1,0.6666666666666666
113,"([('pos x', '(0.0324, 0.0332]'), ('pos y', '(-0.0011, -0.000506]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,0,1,0.0
114,"([('pos x', '(0.0324, 0.0332]'), ('vel x', '(-0.168, -0.0044]')], 'Fire down engine', Fire down engine    0.000643
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,0,0,0,-
115,"([('pos x', '(0.0324, 0.0332]'), ('pos y', '(-2.5e-05, 0.0649]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
116,"([('pos x', '(0.0324, 0.0332]'), ('vel y', '(-0.183, -0.0059]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
117,"([('pos x', '(0.0324, 0.0332]')], 'Fire down engine', Fire down engine    0.000643
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,0,0,0,-
118,"([('pos y', '(1.433, 1.504]'), ('pos x', '(-0.0884, -0.0496]'), ('vel y', '(-0.183, -0.0059]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,1,0,1,0.0
119,"([('pos y', '(1.433, 1.504]'), ('pos x', '(-0.0884, -0.0496]'), ('vel x', '(-0.72, -0.652]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,2,2,0,1.0
120,"([('pos y', '(1.433, 1.504]'), ('vel y', '(-0.368, -0.183]')], 'Fire right engine', Fire right engine    0.007853
Fire left engine     0.002618
Name: class, dtype: float64, Fire right engine    0.75
Fire left engine     0.25
Name: class, dtype: float64)",Fire right engine,1,1,0,1.0
121,"([('pos y', '(1.433, 1.504]'), ('pos x', '(-0.3794, -0.1448]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
